"Type","Buy","Cur.","Sell","Cur.","Fee","Cur.","Exchange","Group","Comment","Date"
"Income","1000000.0000","EOS","","","","","","","79de1aeba92b60b013494574a68edc8d3576e396bac0756858128a72f0c9fbed | ","2018-12-31 17:56:57"
"Income","1000000.0000","EOS","","","","","","","79de1aeba92b60b013494574a68edc8d3576e396bac0756858128a72f0c9fbed | ","2018-12-31 17:56:57"
"Income","1000000.00000000","ABC","","","","","","","3d9e517ae103df01991f62525f13923024841f16792f9cd7c44e518c1285dfb6 | ","2018-12-31 17:56:57"
"Income","1000000.0000","EOS","","","","","","","79de1aeba92b60b013494574a68edc8d3576e396bac0756858128a72f0c9fbed | ","2018-12-31 17:56:57"
"Income","1000000.00000000","ABC","","","","","","","3d9e517ae103df01991f62525f13923024841f16792f9cd7c44e518c1285dfb6 | ","2018-12-31 17:56:57"
"Income","1000000.0000","EOS","","","","","","","79de1aeba92b60b013494574a68edc8d3576e396bac0756858128a72f0c9fbed | ","2018-12-31 17:56:57"
"Income","1000000.00000000","ABC","","","","","","","3d9e517ae103df01991f62525f13923024841f16792f9cd7c44e518c1285dfb6 | ","2018-12-31 17:56:57"
"Deposit","1.2236","EOS","","","","","","","cb142b8c029bfd778f913897d9f20f9cd6ed767b04e6a751853a8f5e66909d55 | ","2018-12-31 17:57:24"
"Deposit","4.93360000","ABC","","","","","","","4afb6275f289eb6a4406060d8fa370e07f32b7d146a5106210d648534a645d8c | ","2018-12-31 17:57:33"
"Deposit","4.93364564","ABC","","","","","","","d575f4718549856e6910ad804f0341cab85636ed86c38353f0b5c0b35fa5e3f7 | ","2018-12-31 17:58:08"
"Deposit","4.93364564","ABC","","","","","","","7b3468625eec26d06b9b6ac7e1914ef891a8ef127924fab9211b717eb05dc4fa | ","2018-12-31 17:58:18"
"Deposit","4.93364564","ABC","","","","","","","1e3188d1f9e6f4598595b5873133958d57f11602c3c15b469eef1fc2d078605e | ","2018-12-31 17:58:32"
"Deposit","4.93364564","ABC","","","","","","","9803bb4a5d17fc5a6fc24c2bbaa9e2dad07ca1aa1fd3afdec7ec363f2aa49e92 | ","2018-12-31 18:11:10"
"Deposit","4.93364564","ABC","","","","","","","d545d781d4614176c0b8ba222ea0f94c3d9cb81ba1ba9a6bcde72602b5d9df00 | ","2018-12-31 18:27:32"
"Deposit","4.93364564","ABC","","","","","","","c217e5d2c12278eb0260b5d56e6959fb2b43be371d852640e0c2345e90a8915d | ","2018-12-31 18:38:17"
"Deposit","4.93364564","ABC","","","","","","","b0690956c7bdae041b156d612ede41d1fb49acbfef67cb212fdf6edd22c56b84 | ","2018-12-31 18:40:38"
"Deposit","4.93364564","ABC","","","","","","","2e6d24c7d4013013fe53d21e12a34adc2d8257baa15635fa20b7acef10a1a4eb | ","2018-12-31 19:07:38"
"Deposit","4.93364564","ABC","","","","","","","6bc8979fbaa163b68b4d8f921cf5875a77890dd60e41d403a8e4bb951a44ddde | ","2018-12-31 19:10:50"
"Deposit","4.93364564","ABC","","","","","","","be93e6570ef25578a819edc49a5146fe2ac6fec96743d9d2650ca3a32b50b84f | hello","2018-12-31 19:11:28"
"Withdrawal","","","4.93364564","ABC","","","","","16ced912d751d0ee975de1af5f66038c283af4464e337c8b760f5feabe74ca3b | hello","2018-12-31 19:11:53"
"Withdrawal","","","4.93364564","ABC","","","","","9e76b29a304b3602aad18d8f586bae1daefce47798279d942f2548c8c5d55168 | hello","2018-12-31 19:13:11"
"Withdrawal","","","4.93364564","ABC","","","","","ea9d2cfc34943d01052746ec2a7f0530a5469115bf50f4c0eff603ea10eaf1d8 | hello","2018-12-31 19:18:38"
"Spend","","","4.93364564","ABC","","","","","6a9e036817ec2758928ec288fcbfa0b6241eacc303dda04636ab66d654cca44f | hello","2018-12-31 19:19:23"
"Withdrawal","","","4.93364564","ABC","","","","","a621e6fa94b61d6383c5a5f56e4c18b492ba6a7cafb4de2a9efba3c8de9f1b5d | hello","2018-12-31 19:32:00"
"Withdrawal","","","4.93364564","ABC","","","","","e687c37fe8db1fbe40a8fa142954775d55da743eb8377e9ed5aea228f33b045f | hello","2018-12-31 19:57:06"
"Withdrawal","","","4.93364564","ABC","","","","","95402f90aba9326289398d22181cd5d44bedbcd2b16f36b8566f8e1b4fc7a11a | hello","2018-12-31 19:59:25"
"Withdrawal","","","4.93364564","ABC","","","","","dbeeaa5aec5660b831bf09e0847d100dc35394225529ccf89adebbdbe1b919df | hello","2018-12-31 20:35:34"
"Withdrawal","","","4.93364564","ABC","","","","","aed0cb844ea63bb7c825bb0d070ac6c3b40496efd1a22ea4bddd82d1fe90df9a | hello","2018-12-31 20:38:55"
"Income","1000000.0000","EOS","","","","","","","79de1aeba92b60b013494574a68edc8d3576e396bac0756858128a72f0c9fbed | ","2018-12-31 17:56:57"
"Income","1000000.0000","EOS","","","","","","","79de1aeba92b60b013494574a68edc8d3576e396bac0756858128a72f0c9fbed | ","2018-12-31 17:56:57"
"Income","1000000.00000000","ABC","","","","","","","3d9e517ae103df01991f62525f13923024841f16792f9cd7c44e518c1285dfb6 | ","2018-12-31 17:56:57"
"Income","1000000.0000","EOS","","","","","","","79de1aeba92b60b013494574a68edc8d3576e396bac0756858128a72f0c9fbed | ","2018-12-31 17:56:57"
"Income","1000000.00000000","ABC","","","","","","","3d9e517ae103df01991f62525f13923024841f16792f9cd7c44e518c1285dfb6 | ","2018-12-31 17:56:57"
"Income","1000000.0000","EOS","","","","","","","79de1aeba92b60b013494574a68edc8d3576e396bac0756858128a72f0c9fbed | ","2018-12-31 17:56:57"
"Income","1000000.00000000","ABC","","","","","","","3d9e517ae103df01991f62525f13923024841f16792f9cd7c44e518c1285dfb6 | ","2018-12-31 17:56:57"
"Deposit","1.2236","EOS","","","","","","","cb142b8c029bfd778f913897d9f20f9cd6ed767b04e6a751853a8f5e66909d55 | ","2018-12-31 17:57:24"
"Deposit","4.93360000","ABC","","","","","","","4afb6275f289eb6a4406060d8fa370e07f32b7d146a5106210d648534a645d8c | ","2018-12-31 17:57:33"
"Deposit","4.93364564","ABC","","","","","","","d575f4718549856e6910ad804f0341cab85636ed86c38353f0b5c0b35fa5e3f7 | ","2018-12-31 17:58:08"
"Deposit","4.93364564","ABC","","","","","","","7b3468625eec26d06b9b6ac7e1914ef891a8ef127924fab9211b717eb05dc4fa | ","2018-12-31 17:58:18"
"Deposit","4.93364564","ABC","","","","","","","1e3188d1f9e6f4598595b5873133958d57f11602c3c15b469eef1fc2d078605e | ","2018-12-31 17:58:32"
"Deposit","4.93364564","ABC","","","","","","","9803bb4a5d17fc5a6fc24c2bbaa9e2dad07ca1aa1fd3afdec7ec363f2aa49e92 | ","2018-12-31 18:11:10"
"Deposit","4.93364564","ABC","","","","","","","d545d781d4614176c0b8ba222ea0f94c3d9cb81ba1ba9a6bcde72602b5d9df00 | ","2018-12-31 18:27:32"
"Deposit","4.93364564","ABC","","","","","","","c217e5d2c12278eb0260b5d56e6959fb2b43be371d852640e0c2345e90a8915d | ","2018-12-31 18:38:17"
"Deposit","4.93364564","ABC","","","","","","","b0690956c7bdae041b156d612ede41d1fb49acbfef67cb212fdf6edd22c56b84 | ","2018-12-31 18:40:38"
"Deposit","4.93364564","ABC","","","","","","","2e6d24c7d4013013fe53d21e12a34adc2d8257baa15635fa20b7acef10a1a4eb | ","2018-12-31 19:07:38"
