"Type","Buy","Cur.","Sell","Cur.","Fee","Cur.","Exchange","Group","Comment","Date"
"Income","1000000.0000","EOS","","","","","","","b59f34e10cffc2ab4c5f20590a91595e0b628f45f760c94b2db8cccfd81fd719 | ","2018-12-31 17:56:56"
"Income","1000000.0000","EOS","","","","","","","b59f34e10cffc2ab4c5f20590a91595e0b628f45f760c94b2db8cccfd81fd719 | ","2018-12-31 17:56:56"
"Income","1000000.00000000","ABC","","","","","","","bbe67712456a3b3c9a794c222fd3adfbeb9373d9ce87b840a1474bd3c153af25 | ","2018-12-31 17:56:56"
"Spend","","","100000.0000","EOS","","","","","c26d3524cb1e1c3f0eed76198cc14516befe1dac0705131cedf0c332bf5fe7db | deposit to REX fund","2018-12-31 17:56:57"
"Spend","","","100000.0000","EOS","","","","","c26d3524cb1e1c3f0eed76198cc14516befe1dac0705131cedf0c332bf5fe7db | deposit to REX fund","2018-12-31 17:56:57"
"Income","1000000.0000","EOS","","","","","","","b59f34e10cffc2ab4c5f20590a91595e0b628f45f760c94b2db8cccfd81fd719 | ","2018-12-31 17:56:56"
"Income","1000000.0000","EOS","","","","","","","b59f34e10cffc2ab4c5f20590a91595e0b628f45f760c94b2db8cccfd81fd719 | ","2018-12-31 17:56:56"
"Income","1000000.00000000","ABC","","","","","","","bbe67712456a3b3c9a794c222fd3adfbeb9373d9ce87b840a1474bd3c153af25 | ","2018-12-31 17:56:56"
"Spend","","","100000.0000","EOS","","","","","c26d3524cb1e1c3f0eed76198cc14516befe1dac0705131cedf0c332bf5fe7db | deposit to REX fund","2018-12-31 17:56:57"
"Spend","","","100000.0000","EOS","","","","","c26d3524cb1e1c3f0eed76198cc14516befe1dac0705131cedf0c332bf5fe7db | deposit to REX fund","2018-12-31 17:56:57"
